Order_ID,Customer_Name,City,Restaurant_Name,Cuisine,Order_Amount,Delivery_Time_Min,Rating,Payment_Method,Delivery_Status,Discount_Percent,Order_Date,Customer_Age,Distance_km
ZM100000,Nitara Andra,Chandigarh,Bath-Kapur Restaurant,South Indian,390.86,84.0,2.0,Wallet,Delivered,5.0,2025-06-21,23.0,13.1
ZM100001,Trisha Bhargava,Delhi,"Ramaswamy, Dhar And Sani Restaurant",Desserts,1534.77,15.0,3.0,Wallet,Cancelled,15.0,2026-05-01,27.0,19.3
ZM100002,Ranbir Dhar,Hyderabad,Mander-Halder Restaurant,Fast Food,1864.87,63.0,2.0,Card,Pending,0.0,2026-03-23,41.0,17.9
ZM100003,Aarush Kunda,Mumbai,Kar Inc Restaurant,South Indian,1043.3,61.0,3.0,Card,Cancelled,10.0,2026-04-21,38.5,23.5
ZM100004,Trisha Gade,Delhi,Kant Inc Restaurant,South Indian,1041.72,86.0,4.0,Card,Delivered,10.0,2025-06-17,20.0,10.6
ZM100005,Ritvik Wali,Hyderabad,Dara-D’Alia Restaurant,South Indian,1079.73,73.0,3.0,Card,Delivered,10.0,2026-04-11,53.0,18.9
ZM100006,Ahana  Sengupta,Chandigarh,"Ravi, Kala And Badami Restaurant",Italian,363.64,29.0,3.0,Cash,Pending,20.0,2025-10-07,56.0,10.2
ZM100007,Renee Ramachandran,Delhi,Jain Llc Restaurant,Chinese,1411.88,58.0,2.0,Card,Cancelled,10.0,2025-09-17,47.0,52.38657551274083
ZM100008,Vanya Lala,Delhi,Batta And Sons Restaurant,Chinese,851.35,40.0,3.0,Card,Delivered,0.0,2025-12-31,51.0,15.4
ZM100009,Miraan Agrawal,Jaipur,Chacko-Kala Restaurant,South Indian,2213.32,25.0,3.0,Upi,Pending,10.0,2025-09-06,26.0,23.7
ZM100010,Rania Chad,Pune,Dutt Plc Restaurant,South Indian,1924.87,54.0,3.0,Card,Cancelled,0.0,2026-02-19,46.0,6.4
ZM100011,Kimaya Sur,Mumbai,Chauhan-Saha Restaurant,South Indian,1316.1093020833334,22.0,4.0,Upi,Delivered,15.0,2025-11-22,22.0,7.7
ZM100012,Krish Ganguly,Mumbai,"Varma, Khalsa And Chandran Restaurant",Biryani,1261.49,27.0,2.0,Wallet,Cancelled,20.0,2025-09-08,44.0,18.5
ZM100013,Zoya Chawla,Delhi,"Zacharia, Rajagopalan And Sanghvi Restaurant",Desserts,2031.39,39.0,4.0,Wallet,Delivered,20.0,2025-06-04,29.0,7.0
ZM100014,Advik Ganesh,Delhi,Virk Llc Restaurant,Chinese,2498.31,26.0,4.0,Cash,Cancelled,20.0,2026-04-06,48.0,10.6
ZM100015,Unknown,Pune,"Kale, Subramanian And Rana Restaurant",Fast Food,1995.05,86.0,3.0,Cash,Delivered,15.0,2026-04-14,31.0,14.9
ZM100016,Shayak Sarin,Delhi,"Halder, Bajwa And Sidhu Restaurant",Biryani,2153.89,80.0,2.0,Cash,Delivered,0.0,2025-08-10,22.0,6.6
ZM100017,Chirag Bhagat,Mumbai,Rama-Atwal Restaurant,North Indian,1135.18,81.0,3.0,Card,Delivered,0.0,2026-03-14,38.0,10.5
ZM100018,Nayantara Banik,Mumbai,Swamy Inc Restaurant,North Indian,2496.37,24.0,4.0,Card,Delivered,15.0,2025-06-05,22.0,9.9
ZM100019,Shalv Saraf,Jaipur,"Karpe, Choudhury And Sood Restaurant",North Indian,1453.32,28.0,3.0,Card,Delivered,5.0,2026-02-23,53.0,7.8
ZM100020,Pari Agarwal,Na,"Dash, Buch And Barad Restaurant",Fast Food,740.13,21.0,2.0,Wallet,Cancelled,5.0,2026-01-27,18.0,4.1
ZM100021,Ela Ahluwalia,Pune,Bajwa And Sons Restaurant,North Indian,2370.87,34.0,1.0,Card,Pending,0.0,2025-12-31,27.0,2.0
ZM100022,Dhanush Dhingra,Delhi,Keer-Mammen Restaurant,Cafe,736.39,86.0,3.0,Cash,Delivered,10.0,2025-11-09,29.0,1.6
ZM100023,Amira Sastry,Na,Borra And Sons Restaurant,South Indian,2000.33,19.0,3.0,Cash,Delivered,20.0,2025-11-25,40.0,20.1
ZM100024,Ahana  Goel,Pune,Barad-Swaminathan Restaurant,Cafe,313.14,59.0,3.0,Card,Delivered,5.0,2026-01-18,34.0,24.1
ZM100025,Saksham Bera,Hyderabad,Balakrishnan Ltd Restaurant,Cafe,2462.95,88.0,4.0,Card,Delivered,0.0,2025-12-30,45.0,52.38657551274083
ZM100026,Anaya Kuruvilla,Na,Kapoor Group Restaurant,South Indian,314.44,57.0,3.0,Upi,Pending,15.0,2025-08-12,50.0,10.8
ZM100027,Renee Das,Chandigarh,Soman-Krishnamurthy Restaurant,Desserts,1040.99,37.0,5.0,Wallet,Pending,5.0,2025-10-20,37.0,11.3
ZM100028,Alisha Anand,Kolkata,Iyengar-Kurian Restaurant,Biryani,1351.26,36.0,2.0,Card,Pending,0.0,2025-07-22,58.0,3.2
ZM100029,Advik Kalita,Chandigarh,Dutt-Solanki Restaurant,Italian,1316.1093020833334,75.0,2.0,Wallet,Cancelled,0.0,2026-01-14,54.0,17.7
ZM100030,Charvi Mander,Delhi,Kata Plc Restaurant,Chinese,664.28,81.0,3.0,Upi,Pending,10.0,2025-09-03,25.0,20.2
ZM100031,Onkar Sekhon,Hyderabad,Bahl Ltd Restaurant,Biryani,1840.29,85.0,3.0,Cash,Pending,20.0,2025-06-07,46.0,6.9
ZM100032,Ivana Keer,Kolkata,Dar-Gill Restaurant,South Indian,332.09,49.0,3.0,Card,Pending,5.0,2025-06-22,26.0,10.2
ZM100033,Adah Khatri,Pune,"Sethi, Sule And Thakkar Restaurant",Cafe,1127.07,68.0,3.0,Upi,Pending,20.0,2026-02-25,48.0,52.38657551274083
ZM100034,Kismat Sibal,Pune,"Sheth, Mandal And Buch Restaurant",South Indian,791.4,64.0,3.0,Wallet,Pending,10.0,2025-11-15,47.0,24.5
ZM100035,Hrishita Dara,Mumbai,"Mand, Shenoy And Taneja Restaurant",North Indian,1157.24,38.0,1.0,Card,Cancelled,15.0,2025-08-14,31.0,9.1
ZM100036,Divij Som,Pune,Goyal-Badal Restaurant,Fast Food,1255.22,21.0,3.0,Cash,Pending,5.0,2025-11-01,59.0,1.7
ZM100037,Unknown,Bangalore,"Datta, Kala And Das Restaurant",South Indian,1723.23,42.0,3.0,Card,Cancelled,10.0,2026-01-08,56.0,19.0
ZM100038,Vivaan Bedi,Jaipur,Shetty-Khare Restaurant,Chinese,2332.88,63.0,3.0,Cash,Delivered,0.0,2026-03-17,38.5,6.8
ZM100039,Saanvi Deshpande,Mumbai,"Kulkarni, Borah And Dhar Restaurant",Chinese,1479.94,83.0,3.0,Card,Delivered,0.0,2025-05-23,59.0,21.4
ZM100040,Vardaniya Verma,Na,Goda-Choudhry Restaurant,Biryani,1173.39,49.0,3.0,Wallet,Cancelled,0.0,2025-09-06,55.0,21.4
ZM100041,Mamooty Karpe,Kolkata,"Bedi, Dyal And Kala Restaurant",Desserts,1311.62,77.0,4.0,Card,Cancelled,15.0,2026-03-31,35.0,17.8
ZM100042,Kanav Goswami,Chandigarh,Devan And Sons Restaurant,Chinese,1105.11,45.0,3.0,Wallet,Cancelled,5.0,2025-12-24,23.0,10.7
ZM100043,Tushar Chadha,Kolkata,"Mammen, Ramanathan And Johal Restaurant",Cafe,1902.95,73.0,5.0,Card,Cancelled,10.0,2026-01-10,25.0,8.6
ZM100044,Shlok Bhagat,Chandigarh,Rao Inc Restaurant,South Indian,799.77,82.0,5.0,Upi,Delivered,15.0,2025-08-13,32.0,8.3
ZM100045,Renee Loyal,Delhi,Agate-Mangal Restaurant,Fast Food,446.76,77.0,2.0,Upi,Pending,15.0,2025-05-17,48.0,9.2
ZM100046,Chirag Mand,Mumbai,Kala Ltd Restaurant,Chinese,324.09,21.0,3.0,Cash,Pending,15.0,2026-04-18,23.0,3.8
ZM100047,Krish Sane,Chandigarh,Lall-Sinha Restaurant,Desserts,1190.39,69.0,5.0,Upi,Pending,0.0,2025-10-13,24.0,6.0
ZM100048,Rania Badami,Chandigarh,Sanghvi-Bava Restaurant,Italian,517.85,75.0,5.0,Upi,Delivered,15.0,2026-01-26,36.0,11.9
ZM100049,Tanya Bava,Na,"Kothari, Dada And Gandhi Restaurant",South Indian,1429.72,49.0,3.0,Upi,Delivered,10.0,2025-05-28,37.0,20.8
ZM100050,Tushar Chacko,Jaipur,"Sundaram, Dugal And Doctor Restaurant",Desserts,1326.11,25.0,1.0,Wallet,Pending,15.0,2025-12-18,56.0,3.2
ZM100051,Adira Raju,Delhi,Goda-Dora Restaurant,Fast Food,1943.31,81.0,3.0,Card,Delivered,0.0,2025-06-03,45.0,12.8
ZM100052,Lagan Dara,Hyderabad,Gala-Ranganathan Restaurant,Chinese,925.04,51.0,3.0,Upi,Cancelled,5.0,2026-03-29,38.0,3.8
ZM100053,Arnav Bhalla,Delhi,Ganesan-Tank Restaurant,Biryani,590.82,78.0,3.0,Upi,Delivered,15.0,2025-10-20,53.0,7.9
ZM100054,Unknown,Na,"Balan, Aggarwal And Bose Restaurant",South Indian,880.26,52.38657551274083,3.0,Upi,Delivered,5.0,2025-05-22,47.0,16.5
ZM100055,Amira Batra,Delhi,Kohli Llc Restaurant,Fast Food,1283.87,73.0,3.0,Wallet,Delivered,0.0,2026-02-25,50.0,4.3
ZM100056,Lagan Boase,Pune,Roy Inc Restaurant,Cafe,1343.18,51.0,5.0,Wallet,Delivered,20.0,2026-04-09,52.0,9.0
ZM100057,Madhup Saran,Chandigarh,"Zachariah, Kannan And Lad Restaurant",South Indian,698.87,20.0,3.0,Wallet,Pending,20.0,2025-08-09,42.0,20.0
ZM100058,Piya Shanker,Delhi,Swaminathan Inc Restaurant,Italian,1536.92,71.0,2.0,Wallet,Delivered,0.0,2025-06-15,27.0,16.7
ZM100059,Adah Savant,Jaipur,Mani-Apte Restaurant,Cafe,1084.09,57.0,3.0,Card,Pending,0.0,2026-02-24,49.0,1.9
ZM100060,Hunar Vala,Jaipur,"Banerjee, Viswanathan And Konda Restaurant",South Indian,1169.83,27.0,3.0,Cash,Pending,15.0,2026-04-09,19.0,20.1
ZM100061,Rohan Konda,Chandigarh,Banerjee-Konda Restaurant,Desserts,2012.42,25.0,3.0,Cash,Cancelled,0.0,2025-12-15,27.0,16.3
ZM100062,Unknown,Kolkata,Dhillon Llc Restaurant,Fast Food,521.24,59.0,5.0,Wallet,Pending,15.0,2025-09-21,47.0,5.8
ZM100063,Darshit Walia,Pune,Ghose Ltd Restaurant,Cafe,2482.83,65.0,5.0,Upi,Pending,0.0,2025-10-30,21.0,18.9
ZM100064,Ehsaan Vig,Hyderabad,"Vyas, Buch And Mandal Restaurant",South Indian,1609.09,32.0,2.0,Upi,Cancelled,20.0,2025-12-19,20.0,18.6
ZM100065,Onkar Venkatesh,Pune,Khosla Plc Restaurant,Italian,1998.31,61.0,5.0,Cash,Cancelled,20.0,2026-03-29,36.0,9.1
ZM100066,Advik Dhar,Chandigarh,Jaggi Llc Restaurant,Desserts,2040.78,65.0,1.0,Card,Pending,5.0,2026-03-17,47.0,19.0
ZM100067,Aarna Shankar,Hyderabad,Grover-Mahajan Restaurant,Chinese,1257.97,86.0,3.0,Cash,Pending,5.0,2025-12-31,58.0,22.8
ZM100068,Saksham Ahuja,Delhi,Verma Plc Restaurant,North Indian,1307.67,83.0,3.0,Wallet,Cancelled,15.0,2025-12-11,38.5,17.7
ZM100069,Tarini Sastry,Bangalore,Ravi Llc Restaurant,Desserts,2109.18,50.0,1.0,Card,Delivered,20.0,2025-08-11,46.0,21.5
ZM100070,Piya Salvi,Na,Raj-De Restaurant,Cafe,798.32,73.0,2.0,Cash,Pending,0.0,2026-03-25,56.0,2.2
ZM100071,Navya Samra,Mumbai,Dugar Ltd Restaurant,South Indian,1948.12,42.0,4.0,Card,Delivered,0.0,2025-11-25,18.0,24.6
ZM100072,Himmat Venkatesh,Mumbai,Bahri-Vala Restaurant,North Indian,991.87,90.0,3.0,Upi,Delivered,15.0,2026-03-09,21.0,11.1
ZM100073,Yashvi Vala,Hyderabad,"Ramesh, Bail And Dayal Restaurant",Chinese,670.64,81.0,5.0,Wallet,Pending,5.0,2026-03-17,21.0,21.3
ZM100074,Yuvraj  Chana,Kolkata,"Jha, Kibe And Andra Restaurant",Chinese,906.96,31.0,5.0,Card,Cancelled,0.0,2025-10-08,51.0,13.1
ZM100075,Lakshit Madan,Na,Barad Inc Restaurant,South Indian,2237.01,73.0,3.0,Wallet,Pending,5.0,2025-10-06,38.0,17.0
ZM100076,Trisha Deshmukh,Kolkata,Ram Group Restaurant,Chinese,350.61,62.0,3.0,Upi,Pending,0.0,2025-11-04,53.0,3.9
ZM100077,Tushar Sagar,Pune,Varma Plc Restaurant,North Indian,1560.96,88.0,4.0,Cash,Pending,20.0,2025-11-14,32.0,9.4
ZM100078,Urvi Banik,Mumbai,"Khanna, Mane And Kibe Restaurant",South Indian,2136.11,86.0,1.0,Card,Delivered,10.0,2025-08-03,35.0,8.4
ZM100079,Myra Bava,Bangalore,Sem And Sons Restaurant,Desserts,1891.28,26.0,4.0,Wallet,Cancelled,20.0,2025-11-22,39.0,8.5
ZM100080,Bhamini Kadakia,Mumbai,Shere-Dua Restaurant,North Indian,1922.92,25.0,5.0,Wallet,Pending,20.0,2025-11-29,49.0,10.9
ZM100081,Raghav Bhagat,Pune,"Gaba, Contractor And Khalsa Restaurant",Chinese,1744.44,54.0,1.0,Cash,Cancelled,0.0,2026-01-24,21.0,52.38657551274083
ZM100082,Armaan Mammen,Jaipur,"Lanka, Verma And Wadhwa Restaurant",Fast Food,168.17,37.0,3.0,Wallet,Pending,0.0,2025-12-11,32.0,21.0
ZM100083,Dhanush Raja,Delhi,Rao-Bahl Restaurant,Desserts,1316.1093020833334,55.0,3.0,Wallet,Pending,0.0,2025-11-14,44.0,10.7
ZM100084,Manikya Walia,Kolkata,Karan Group Restaurant,Cafe,2134.54,90.0,3.0,Upi,Cancelled,15.0,2025-11-29,39.0,19.7
ZM100085,Romil Madan,Delhi,Basu Ltd Restaurant,South Indian,971.03,33.0,4.0,Upi,Delivered,15.0,2026-04-05,30.0,4.7
ZM100086,Bhamini Goswami,Na,"Sheth, Rout And Soni Restaurant",Biryani,1474.78,87.0,3.0,Card,Delivered,20.0,2025-06-13,22.0,16.2
ZM100087,Ishaan Amble,Mumbai,Gole-Thaker Restaurant,Fast Food,238.38,51.0,2.0,Upi,Pending,0.0,2025-12-25,50.0,14.9
ZM100088,Adah Kari,Na,Dash-Sawhney Restaurant,South Indian,1267.73,22.0,3.0,Upi,Cancelled,0.0,2026-04-23,23.0,5.1
ZM100089,Nishith Grewal,Delhi,Srinivas Ltd Restaurant,Italian,2307.15,58.0,1.0,Card,Delivered,15.0,2026-01-08,24.0,10.3
ZM100090,Yasmin Dani,Mumbai,"Kulkarni, Golla And Rajagopal Restaurant",Italian,1519.44,59.0,5.0,Wallet,Delivered,0.0,2026-01-05,23.0,10.0
ZM100091,Hiran Srinivasan,Na,Wali Inc Restaurant,Chinese,1145.0,61.0,5.0,Cash,Delivered,15.0,2025-11-27,49.0,25.0
ZM100092,Aayush Sane,Mumbai,Goel Ltd Restaurant,North Indian,2209.52,63.0,3.0,Cash,Delivered,0.0,2026-02-24,57.0,5.0
ZM100093,Kaira Bakshi,Chandigarh,Vasa-Uppal Restaurant,Biryani,1918.12,44.0,4.0,Card,Cancelled,10.0,2025-10-02,41.0,14.7
